model,task,seed,f1,precision,recall,accuracy,tn,fp,fn,tp,train_runtime,learning_rate,batch_size,epochs
dictabert,span,42,0.9919261822376009,0.9885057471264368,0.9953703703703703,0.0,,,,,52.4126,5.0e-05,32,5.0
dictabert,span,456,0.9907621247113163,0.988479262672811,0.9930555555555556,0.0,,,,,54.7909,5.0e-05,32,5.0
dictabert,span,123,0.9907621247113163,0.988479262672811,0.9930555555555556,0.0,,,,,51.0491,5.0e-05,32,5.0
dictabert,span,123,0.9965397923875432,0.993103448275862,1.0,0.0,,,,,88.0078,2.0e-05,16,5.0
dictabert,span,456,0.9942462600690449,0.988558352402746,1.0,0.0,,,,,91.5115,2.0e-05,16,5.0
dictabert,span,42,0.9896193771626298,0.9862068965517241,0.9930555555555556,0.0,,,,,97.9289,2.0e-05,16,5.0
dictabert,cls,42,0.9461358313817331,0.957345971563981,0.9351851851851852,0.9467592592592593,207.0,9.0,14.0,202.0,106.329,5.0e-06,16,8.0
dictabert,cls,456,0.951048951048951,0.9577464788732394,0.9444444444444444,0.9513888888888888,207.0,9.0,12.0,204.0,98.5134,5.0e-06,16,8.0
dictabert,cls,123,0.9451073985680191,0.9753694581280788,0.9166666666666666,0.9467592592592593,211.0,5.0,18.0,198.0,99.3767,5.0e-06,16,8.0
dictabert,cls,123,0.9550827423167849,0.9758454106280193,0.9351851851851852,0.9560185185185185,211.0,5.0,14.0,202.0,63.644,2.0e-05,16,5.0
dictabert,cls,456,0.9461358313817331,0.957345971563981,0.9351851851851852,0.9467592592592593,207.0,9.0,14.0,202.0,63.7459,2.0e-05,16,5.0
dictabert,cls,42,0.9530516431924883,0.9666666666666667,0.9398148148148148,0.9537037037037037,209.0,7.0,13.0,203.0,65.4701,2.0e-05,16,5.0
alephbert-base,span,42,0.9953917050691244,0.9908256880733946,1.0,0.0,,,,,72.125,5.0e-05,32,8.0
alephbert-base,span,456,0.9965397923875432,0.993103448275862,1.0,0.0,,,,,63.2992,5.0e-05,32,8.0
alephbert-base,span,123,0.997690531177829,0.9953917050691244,1.0,0.0,,,,,71.8864,5.0e-05,32,8.0
alephbert-base,span,123,0.9965397923875432,0.993103448275862,1.0,0.0,,,,,79.3902,2.0e-05,16,5.0
alephbert-base,span,456,0.9942329873125721,0.9908045977011494,0.9976851851851852,0.0,,,,,79.5587,2.0e-05,16,5.0
alephbert-base,span,42,0.9942329873125721,0.9908045977011494,0.9976851851851852,0.0,,,,,79.0521,2.0e-05,16,5.0
alephbert-base,cls,42,0.9389671361502347,0.9523809523809523,0.9259259259259259,0.9398148148148148,206.0,10.0,16.0,200.0,19.7226,5.0e-05,32,3.0
alephbert-base,cls,456,0.9327146171693735,0.9348837209302325,0.9305555555555556,0.9328703703703703,202.0,14.0,15.0,201.0,18.4749,5.0e-05,32,3.0
alephbert-base,cls,123,0.9545454545454546,0.9375,0.9722222222222222,0.9537037037037037,202.0,14.0,6.0,210.0,19.8777,5.0e-05,32,3.0
alephbert-base,cls,123,0.9361702127659575,0.9565217391304348,0.9166666666666666,0.9375,207.0,9.0,18.0,198.0,54.0625,2.0e-05,16,5.0
alephbert-base,cls,456,0.9348314606741573,0.9082969432314411,0.9629629629629629,0.9328703703703703,195.0,21.0,8.0,208.0,52.0716,2.0e-05,16,5.0
alephbert-base,cls,42,0.9333333333333333,0.9607843137254902,0.9074074074074074,0.9351851851851852,208.0,8.0,20.0,196.0,54.2864,2.0e-05,16,5.0
xlm-roberta-base,span,42,0.9919075144508671,0.9907621247113164,0.9930555555555556,0.0,,,,,353.8186,3.0e-05,8,8.0
xlm-roberta-base,span,456,0.9953810623556582,0.9930875576036866,0.9976851851851852,0.0,,,,,303.4785,3.0e-05,8,8.0
xlm-roberta-base,span,123,0.9907621247113163,0.988479262672811,0.9930555555555556,0.0,,,,,219.8724,3.0e-05,8,8.0
xlm-roberta-base,span,123,0.9919261822376009,0.9885057471264368,0.9953703703703703,0.0,,,,,119.6039,2.0e-05,16,5.0
xlm-roberta-base,span,456,0.9953810623556582,0.9930875576036866,0.9976851851851852,0.0,,,,,348.8104,3.0e-05,8,8.0
xlm-roberta-base,span,42,0.9930715935334872,0.9907834101382489,0.9953703703703703,0.0,,,,,120.9918,2.0e-05,16,5.0
xlm-roberta-base,cls,42,0.9026128266033254,0.926829268292683,0.8796296296296297,0.9050925925925926,201.0,15.0,26.0,190.0,231.7352,2.0e-05,8,8.0
xlm-roberta-base,cls,456,0.9317647058823529,0.9473684210526315,0.9166666666666666,0.9328703703703703,205.0,11.0,18.0,198.0,233.1223,2.0e-05,8,8.0
xlm-roberta-base,cls,123,0.9112709832134293,0.945273631840796,0.8796296296296297,0.9143518518518519,205.0,11.0,26.0,190.0,231.1962,2.0e-05,8,8.0
xlm-roberta-base,cls,123,0.9176470588235294,0.9330143540669856,0.9027777777777778,0.9189814814814815,202.0,14.0,21.0,195.0,80.0869,2.0e-05,16,5.0
xlm-roberta-base,cls,456,0.9133489461358314,0.9241706161137441,0.9027777777777778,0.9143518518518519,200.0,16.0,21.0,195.0,80.0332,2.0e-05,16,5.0
xlm-roberta-base,cls,42,0.9186602870813397,0.9504950495049505,0.8888888888888888,0.9212962962962963,206.0,10.0,24.0,192.0,80.6469,2.0e-05,16,5.0
bert-base-multilingual-cased,span,42,0.9919632606199771,0.9840546697038725,1.0,0.0,,,,,67.4392,2.0e-05,16,3.0
bert-base-multilingual-cased,span,456,0.9953917050691244,0.9908256880733946,1.0,0.0,,,,,66.8713,2.0e-05,16,3.0
bert-base-multilingual-cased,span,123,0.9919447640966628,0.9862700228832952,0.9976851851851852,0.0,,,,,69.7421,2.0e-05,16,3.0
bert-base-multilingual-cased,span,123,0.993103448275862,0.9863013698630136,1.0,0.0,,,,,115.8664,2.0e-05,16,5.0
bert-base-multilingual-cased,span,456,0.9953917050691244,0.9908256880733946,1.0,0.0,,,,,109.4724,2.0e-05,16,5.0
bert-base-multilingual-cased,span,42,0.993103448275862,0.9863013698630136,1.0,0.0,,,,,110.7398,2.0e-05,16,5.0
bert-base-multilingual-cased,cls,42,0.8758782201405152,0.8862559241706162,0.8657407407407407,0.8773148148148148,192.0,24.0,29.0,187.0,39.1619,2.0e-05,16,3.0
bert-base-multilingual-cased,cls,456,0.8822170900692841,0.880184331797235,0.8842592592592593,0.8819444444444444,190.0,26.0,25.0,191.0,37.9167,2.0e-05,16,3.0
bert-base-multilingual-cased,cls,123,0.8671328671328671,0.8732394366197183,0.8611111111111112,0.8680555555555556,189.0,27.0,30.0,186.0,38.0738,2.0e-05,16,3.0
bert-base-multilingual-cased,cls,123,0.8660287081339713,0.8960396039603961,0.8379629629629629,0.8703703703703703,195.0,21.0,35.0,181.0,63.7694,2.0e-05,16,5.0
bert-base-multilingual-cased,cls,456,0.8619854721549637,0.9035532994923858,0.8240740740740741,0.8680555555555556,197.0,19.0,38.0,178.0,63.0469,2.0e-05,16,5.0
bert-base-multilingual-cased,cls,42,0.8827586206896552,0.8767123287671232,0.8888888888888888,0.8819444444444444,189.0,27.0,24.0,192.0,62.4896,2.0e-05,16,5.0
alephbertgimmel-base,span,42,0.9919447640966628,0.9862700228832952,0.9976851851851852,0.0,,,,,72.0096,5.0e-05,32,8.0
alephbertgimmel-base,span,456,0.9919447640966628,0.9862700228832952,0.9976851851851852,0.0,,,,,83.0785,5.0e-05,32,8.0
alephbertgimmel-base,span,123,0.9885057471264368,0.9817351598173516,0.9953703703703703,0.0,,,,,52.8396,5.0e-05,32,8.0
alephbertgimmel-base,span,123,0.9942329873125721,0.9908045977011494,0.9976851851851852,0.0,,,,,88.7822,2.0e-05,16,5.0
alephbertgimmel-base,span,456,0.9919632606199771,0.9840546697038725,1.0,0.0,,,,,89.2416,2.0e-05,16,5.0
alephbertgimmel-base,span,42,0.9908045977011495,0.9840182648401826,0.9976851851851852,0.0,,,,,94.9379,2.0e-05,16,5.0
alephbertgimmel-base,cls,42,0.9400921658986175,0.9357798165137615,0.9444444444444444,0.9398148148148148,202.0,14.0,12.0,204.0,60.3506,5.0e-05,32,8.0
alephbertgimmel-base,cls,456,0.958139534883721,0.9626168224299065,0.9537037037037037,0.9583333333333334,208.0,8.0,10.0,206.0,60.9247,5.0e-05,32,8.0
alephbertgimmel-base,cls,123,0.9408983451536643,0.961352657004831,0.9212962962962963,0.9421296296296297,208.0,8.0,17.0,199.0,62.1116,5.0e-05,32,8.0
alephbertgimmel-base,cls,123,0.9361702127659575,0.9565217391304348,0.9166666666666666,0.9375,207.0,9.0,18.0,198.0,64.1619,2.0e-05,16,5.0
alephbertgimmel-base,cls,456,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,202.0,14.0,14.0,202.0,63.6885,2.0e-05,16,5.0
alephbertgimmel-base,cls,42,0.9364705882352942,0.9521531100478469,0.9212962962962963,0.9375,206.0,10.0,17.0,199.0,65.603,2.0e-05,16,5.0
