idiom_id,base_pie
1,איבד את הצפון
2,איבד את הראש
3,דרך במקום
4,הוריד את הכפפות
5,הוריד פרופיל
6,החזיק אצבעות
7,הייתה בעננים
8,הלך בין טיפות
9,הלך על ביצים
10,הניף דגל לבן
11,הרים את הראש
12,הרים גבה
13,הרים ידיים
14,חותך כמו סכין
15,חזר למסלול
16,חטף חום
17,חטף מכה
18,חיבר נקודות
19,חצה קו אדום
20,חתך פינה
21,יצא מהקופסה
22,ירד לו האסימון
23,ירד מהעץ
24,ירד מהפסים
25,ירה לכל הכיוונים
26,ירק דם
27,לב זהב
28,לקח צעד אחורה
29,משך בחוטים
30,נכנס מתחת לאלונקה
31,נפל בין הכיסאות
32,נפל מהכיסא
33,נשאר מאחור
34,נשבר מבפנים
35,נשך שפתיים
36,נתן גז
37,נתן יד
38,סגר חשבון
39,עשה סלט
40,עשה סצנה
41,פתח דלתות
42,פתח דף חדש
43,פתח עיניים
44,קבר את עצמו
45,קיבל סטירה
46,קיפל את הזנב
47,קפא במקום
48,קפץ למים
49,רץ אחרי הזנב של עצמו
50,שבר את הכלים
51,שבר את הלב
52,שבר את הקרח
53,שבר את הראש
54,שבר את תקרת הזכוכית
55,שבר שתיקה
56,שחרר קיטור
57,שיחק באש
58,שם עליו פס
59,שם רגליים
60,שפכה אור
